,female control (n = 75) vs female heart attack control (n = 75),female control (n = 75) vs female Fabry (n = 15),female control (n = 75) vs male control (n = 15),female control (n = 75) vs male heart attack control (n = 15),female control (n = 75) vs male Fabry (n = 3),female heart attack control (n = 75) vs female Fabry (n = 15),female heart attack control (n = 75) vs male control (n = 15),female heart attack control (n = 75) vs male heart attack control (n = 15),female heart attack control (n = 75) vs male Fabry (n = 3),female Fabry (n = 15) vs male control (n = 15),female Fabry (n = 15) vs male heart attack control (n = 15),female Fabry (n = 15) vs male Fabry (n = 3),male control (n = 15) vs male heart attack control (n = 15),male control (n = 15) vs male Fabry (n = 3),male heart attack control (n = 15) vs male Fabry (n = 3)
p(hor.),0.6958654620752958,0.4883692273389546,0.09332190247102472,0.08715331648605687,0.4394815710605185,0.6807702428270165,0.12157188626880036,0.14090670313282486,0.5026552394973448,0.24548500120312422,0.38373262766250305,0.7377450980392157,0.5897385933186072,0.911764705882353,1.0
p(vert.),0.1179042972559365,0.055324994232917354,0.8285724727022195,0.32985919465547675,0.961038961038961,0.3574346416222831,0.404477552815074,0.9309790416803456,0.6398075608601924,0.08901797772326324,0.48073111045562256,0.3602941176470588,0.5338294217441396,0.911764705882353,0.6544117647058824
p(area),0.016306180949457943,0.07756069643195732,0.13797082197366178,0.0018521717333534193,0.49926234353438703,0.75353208121458,0.7700351759837203,0.04346542116714067,1.0,0.9338790795853346,0.14653111378242054,1.0,0.33997843436292496,0.911764705882353,0.6544117647058824
p(num),0.10311640017769955,0.6899164510181117,0.19892595721064898,0.025956265209857828,0.6955584962491503,0.5642625512827761,0.6306804104391381,0.24146780137298063,0.9251268649325372,0.48230541942058835,0.1276578218219639,1.0,0.7280367585717029,0.8562886129326945,0.45132453407103534
p(pm/lv),0.09588952474955648,0.20525657391991947,0.41060775539056005,1.0,0.3140806561859194,0.7127943954137821,0.12419960269887727,0.26945556318870667,0.42433881907566123,0.11498741920155964,0.4067868333984651,0.911764705882353,0.6186695570822622,0.25,0.3014705882352941
p(ma),0.0007370669150825641,0.04815570729631665,5.206572195720069e-07,7.884575262855889e-09,0.003610681843076963,0.8033485773366178,9.714823644136285e-05,2.6312511502424247e-07,0.003613234029588107,0.01706732188205732,0.0012151954178690621,0.0024509803921568627,0.21337370709311831,0.004901960784313725,0.004901960784313725
p(mwt),0.050195145826746564,0.027200080292282863,0.0006749320434699774,1.7066876532537318e-06,0.0001840264998159735,0.23368094197471934,0.0199265813131449,1.9928010125537053e-05,0.0002891844997108155,0.3614963660708982,0.03439744889250225,0.056372549019607844,0.042110616791807005,0.00980392156862745,0.004901960784313725
d(hor.),0.09829007584827584,0.16299016388455187,0.38709236868796515,0.36007252028347536,0.44312637102938107,0.05217573641079991,0.25734497540639784,0.22522573993710512,0.3209855993562698,0.23001969496389882,0.1938777407989433,0.2999514900266345,0.045841563724496125,0.08520052150226587,0.1366956561818943
d(vert.),0.2436215885130332,0.3924078415508121,0.030570821214677694,0.287695234120263,0.09264862898420827,0.08466936075624693,0.26130933857135075,0.055353788067786874,0.3095379929358604,0.5129772207484544,0.01928353227644371,0.5729925041148857,0.34461501270808087,0.07412890937325504,0.3262659495899064
d(area),0.37894796187995994,0.5014614634229256,0.4509572186354835,0.8484761269882302,0.35670826664457345,0.06488778808592646,0.09111701529465759,0.3842730155032924,0.010582581291696222,0.03962597484633217,0.37953137124608,0.052289587567616966,0.2504575433814611,0.07185865571000134,0.351755729516863
d(num),0.24463082712584974,0.162014347982357,0.38070855981145857,0.5401340707817937,0.2680954016978584,0.06899316761726487,0.14913094431865026,0.2514831309774892,0.04313649851717063,0.20636266942157575,0.31139957766460913,0.1043788370994871,0.06722926454528119,0.09253481037695213,0.19169091481900472
d(pm/lv),0.22354639821004504,0.4238818953847473,0.2549993683864313,0.07225906579061946,0.5069479959393374,0.18945086091234237,0.4359773047557752,0.28081694863236645,0.3030441164433243,0.6019248967544163,0.4628807044962421,0.1348903898891709,0.17770412194860566,0.6613437131467129,0.5687639410108141
d(ma),0.42212068136400654,0.6394305997304147,1.5527052810777529,2.247869802216898,5.375147594783495,0.22906065780561427,1.0240484787676145,1.53395640911628,3.8315642999079484,0.6973067753509437,1.103715751088733,2.946151735137348,0.34904050043057494,2.035874816843146,1.9167175270063492
